,Response
467,8.0
468,6.0
469,6.0
470,8.0
471,7.0
472,8.0
473,8.0
474,2.0
475,8.0
476,8.0
477,8.0
478,6.0
479,2.0
480,6.0
481,6.0
482,8.0
483,8.0
484,8.0
485,8.0
486,8.0
487,6.0
488,6.0
489,5.0
490,8.0
491,7.0
492,8.0
493,8.0
494,8.0
495,4.0
496,8.0
497,6.0
498,8.0
499,4.0
